name,salary,company_name,metro_station,description_list_items,company_address,rating,skills,description
Senior Go Developer,,PointPay,Щукинская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Щукинская, Авиационная улица, 72к1",Нет отзывов,"Golang, SQL, Kubernetes, Go, GRPС","PointPay – криптовалютная банковская экосистема, входящая в 5-ку лидеров своего направления. Мы заменяем традиционную банковскую модель, позволяя осуществлять недорогие и мгновенные переводы средств по всему миру с использованием нашей собственной оффчейн-технологии и токена PointPay (PXP). Мы быстро растем и нам нужны сильные разработчики, чтобы вместе создавать революционный и самый технологичный продукт в мире. Pointpay.io Обязанности:  Создание высоконагруженных сервисов / микро-сервисов; Разработка интеграции с внешними сервисами; Разработка платформы для торговой системы; Разработка надежной, безопасной и безотказной экосистемы; Решение сложных и интересных задач;  Требования:  Иметь опыт коммерческой разработки ПО на Go не менее 3-х лет, отличное знание языка и экосистемы; Понимание многопоточности, параллельных вычислений и широко используемых структур данных и алгоритмов; Уверенно знаете стек TCP / IP ; Знаете RFC стандарты HTTP / WebSockets; Работаете с REST / GRPС (protobuf); Знание лучших практик разработки микро-сервисных архитектур, Kubernetes / Docker и опыт продакшен релизов совместно с девопс инженерами; Имеете опыт написания высоконагруженных систем; Отличное знание SQL и одной из реляционных СУБД.  Будет плюсом:  Опыт работы с алгоритмами консенсуса; Знание Алгоритмов Опыт работы с встраивыми базами данных;  Условия:  Заработная плата выше рынка (обсуждается на собеседовании); Удалённая работа 5/2, планируй свой день сам; Возможность влиять на продукт; Отсутствие бюрократии и кучи бессмысленных звонков; Сотрудничество с суперзвёздной командой; Трудоустройство по бессрочному контракту с UK."
Программист Python,,LIFE PAY,,[],,"4,9","Git, Асинхронное программирование, Удаленная работа, Линейное программирование, С#, Python","LIFE PAY — это разработчик платежных, кассовых и учетных продуктов для бизнеса. Мы работаем с 2012 года и сейчас наша цель - удвоиться и в 2022 году. В нашей компании вы найдёте профессионалов, с которыми приятно работать вместе, единомышленников, с которыми нескучно отдыхать, и экспертов, у которых можно многому научиться. Как понять что ты подходишь? Очень важно чтобы ты был готов работать в команде, коммуницировать и помогать. Что от Вас ожидаем:  Разработка нового функционала программно-аппаратного комплекса; Оптимизация кода программно-аппаратного комплекса; Мониторинг работоспособности программно-аппаратного комплекса, внесение необходимых исправлений, корректировок  Требования:  python git docker rest/soap шаблоны проектирования (GOF) опыт работы с микросервисами опыт работы с очередямизнание kubernetes - желательно опыт работы с kafka - желательно асинхронное программирование - желательно опыта работы в финтехе - будет преимуществом;  Что можем предложить:  Оклад определяется по итогам собеседования ; График с 10.00 до 19.00 Официальное трудоустройство; Расширенная программа ДМС: стоматология, обследования, вызов врача на дом (в зависимости от региона); Возможность участвовать в образовательных программах, лекциях; Культура открытости и взаимопомощи: у нас работают люди, вовлеченные в процесс и не безразличные к тому, что они делают; Работа в технологической компании, которая создает сервисы, приносящие пользу миллионам людей.    ​"
Инженер-программист,от 100 000 до 250 000 руб. на руки,Rubetek,Арбатская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Арбатская, Смоленская, Смоленская, улица Арбат, 36/2с3","4,8","Английский — B1 — Средний, Git, SQL, Python, JavaScript, Linux, Разработка ПО, HTML, C#, ООП, C/C++, C++, .NET Framework","Кто мы Rubetek — создаем комфортную среду для людей, способствуем развитию инноваций и делаем их доступными  В штат компании входит более 100 сотрудников Офисы в Москве и Орле Собственное производство в Орле Большое количество точек продаж и широкая партнерская сеть инсталляторов по всей России  С 2014 года разрабатываем системы: «умный дом», пожарная сигнализация, IP-домофония и «умные счетчики».   Чем предстоит заниматься   Разработка управляющих программ для IP-камер Написание алгоритмов управления, загрузчиков, драйверов, протоколов передачи данных Поддержка, исправление ошибок и внесение правок в legacy code    От вас  Программирование на языках С(Си)/C++. Дополнительно большим плюсом будет знание Assembler, Java, HTML, XML. Работа в средах IAR EW, VS Code, Keil. Понимание аналоговой и цифровой схемотехники, цифровой обработки сигналов (ЦОС) Владение пакетом программ P-CAD, MATLAB, MathCad, STM32CubeMX, Compas, FD3, Splan, Cisco Packet Tracer, Wireshark, CircuitCam Опыт работы в системе управления проектами JIRA, использование систем контроля версий Subversion и Git Программирование под операционные системы реального времени (RTOS) для микроконтроллеров (uC/OS-II и др.)    От нас  Официальное трудоустройство по ТК РФ с 1-го рабочего дня Белая заработная плата Оплачиваемые отпуск и больничный Дружный коллектив единомышленников Комфортный офис Охраняемая парковка на территории нашего завода Интересная работа в инновационной компании являющейся резидентом ИЦ «Сколково» График работы 5/2"
Системный программист (L1 phy проект),,TQB Russia,,"['Требуемый опыт работы', '', ':', 'более 6 лет']",,Нет отзывов,"Linux, C/C++, DSP, Embedded, NXP, LTE, ЦОС","Внимание! Готовы рассмотреть готовые команды, слаженные коллективы с опытом разработки в мобильной связи, радиолокации.   Обязанности:  Проектирование и разработка системного и прикладного ПО для SoC NXP QorIQ B4860. Работа в компактной команде разработчиков совместно с FPGA-разработчиком, HW/RF-дизайнером, Signal Processing инженером. Умение принимать технические решения и брать за них ответственность. Разработка программ и методик тестирования продукта, взаимодействие с QA. Разработка технических спецификаций модулей ПО, взаимодействие с исследователями и разработчиками.  Требования:  Высшее техническое образование. Опыт работы в области - от 6 лет. Отличное знание C/C++. Опыт разработки системного и прикладного ПО для процессоров общего назначения x86; DSP, PowerPC, ARM-процессоров, многоядерных SoC: TI (TMS320C66xx), NXP/Freescale (QorIQ B4860), Xilinx Zynq в NO-OS, Linux и Windows окружении. Опыт работы с высокоскоростными интерфейсами PCI-E, SRIO, CPRI, программирование DMA, межпроцессорного взаимодействия, сборка ядра Linux, загрузчики, драйверы, сетевые протоколы и т.п. Опыт командной разработки ПО, взаимодействия с FPGA-разработчиками, HW/RF-дизайнерами. Культура разработки (контроль версий, системы сборки, багтрекинг, тестирование и т.п.).  Будет плюсом:  Знания в области обработки сигналов и техническое понимание сетей радиодоступа (LTE/5G NR). Навыки разработки и описания архитектуры. Навыки разработки технических спецификаций, программ и методик испытаний. Умение читать схемы аналоговых приемо-передающих узлов и цифровых вычислителей. Хороший технический русский и английский (R/W).  Условия:  Оформление по ТК РФ, отпуск 28 календарных дней Оклад на руки 160-300 тысяч на руки, зависит от компетенций Квартальные премии ДМС Профессиональный инженерный коллектив, есть англоязычные коллеги, можно практиковаться в процессе работы."
Программист 1C (Удаленный формат работы),до 200 000 руб. на руки,Первый Бит,,"['Требуемый опыт работы', '', ':', '1–3 года']",,"3,9","Бухгалтерский учет, 1С программирование, 1С: Бухгалтерия, 1С: Предприятие 8, 1С: Зарплата и управление персоналом, ERP, Системная интеграция, 1С: Управление Торговлей, 1С: Управление предприятием, 1С: Управление Производственным Предприятием, 1C: Зарплата и кадры, 1С: Комплексная автоматизация, Удаленная работа, ERP-системы на базе 1С, 1С: Документооборот","Первый Бит – международный интегратор эффективных ИТ-решений. Компания уже более 25 лет занимается автоматизацией бизнеса и разработкой собственных систем. У нас более 100 офисов в 11 странах. В штате компании работает более 6000 специалистов, большая часть которых сертифицирована фирмой «1С». В крупнейшем офисе компании Первый бит открыта вакансия Программиста 1С с выбором работы: удаленно или в офисе. Мы ищем специалиста, который обладает опытом программирования, желанием помогать клиентам, а также хочет получать удовольствие от работы и зарабатывать. МЫ ПРЕДЛАГАЕМ:  Стать частью команды профессионалов. Реальную возможность профессионального и финансового роста. Оплачиваемое обучение, возможность бесплатного получения сертификатов 1С.    У ВАС БУДЕТ ВОЗМОЖНОСТЬ:  Работать на крупных внедрениях и заниматься проектной деятельностью. Участвовать в сложных внедрениях программных продуктов. Работать в команде проектной группы: руководитель отдела, руководители проектов, архитектор, программисты 1С, аналитики 1С. Заниматься доработкой, внедрением и поддержкой конфигураций на базе 1С под нужды клиента. Консультировать клиентов по вопросам работы программы.  ОТ ВАС ЖДЕМ:  Опыт программирования в среде 1С от 2-х лет (наличие сертификатов 1С приветствуется). Знание платформы 1С:Предприятие 8, а также функционала типовых конфигураций. Будет преимуществом наличие опыта внедрения Бит.Финанс, 1С: БП, 1С:ERP, 1С: УТ, 1С: УХ, 1С: КА - типовые конфигурации. Наличие опыта интеграции с другими системами. Готовность решать сложные задачи и стремления к профессиональному росту. Аналитический склад ума и высокую скорость мышления.  УСЛОВИЯ:  Работа в международном IT-Интеграторе. Возможность удаленной работы, в офисе работать необязательно. Официальное оформление с первого дня работы. ""Белая"" заработная плата: оклад и премия по результатам работы. Соцпакет: льготный ДМС, корпоративный спорт (футбол, волейбол, баскетбол, настольный теннис), а также скидки и мероприятия для сотрудников и их семей.  ДОБРО ПОЖАЛОВАТЬ В КОМАНДУ ПЕРВЫХ!"
Программист,,ГКУ города Москвы Центр занятости населения города Москвы,,"['Требуемый опыт работы', '', ':', 'не требуется']",,"4,8","Высшее образование, Работа в условиях многозадачности, 1С программирование","Один из ключевых партнёров Центра занятости населения «Моя работа» рад принять в свою команду ""Программиста"". Обязанности:  Поддержка, доработка, расширение существующего и создание нового функционала под нужды пользователей. Интеграция со сторонними системами.  Требования:  Высшее профильное образование, Знание 1С.  Условия:  Работа в стабильной и успешной Компании, существующей на рынке более (25) лет, имеющей широкую сеть магазинов в Москве, Крупные и интересные творческие проекты с использованием передовых технологий, Творческий коллектив профессионалов, готовых помочь в развитии знаний и навыков, Разработка, реализация и внедрение программного функционала, Участие в улучшении, расширении, разработке и внедрении бизнес-процессов компании, Оформление ТК РФ (стандартный пакет), График работы 5/2, Стабильная заработная плата, Место работы м. Коньково, пешая доступность."
.net разработчик,,"билайн: ИТ, Data, Digital",,"['Требуемый опыт работы', '', ':', '3–6 лет']",,Нет отзывов,"ООП, MVC, C#, .NET Framework, ASP.NET","Тебе предстоит:  Разработка веб-приложений и сервисов на платформе .NET с применением языка C#; Интеграция системы с другими внутренними проектами.  Мы будем рады рассмотреть твою кандидатуру, если у тебя есть:​​​​​​​  Отличные знания C#, ASP.NET MVC, ASP.NET WebAPI, ASP.NET Core (BCL, асинхронность, современные фреймворки и библиотеки); Опыт проектирования и разработки многопоточных многоуровневых систем, в особенности, в .NET; Опыт разработки веб-сервисов, Windows Service Хороший опыт использования MS SQL Server и NoSQL; Знания методологий разработки, ООП, принципов SOLID паттернов проектирования и рефакторинга; Понимание и знание тонкостей ключевых интернет архитектур, технологий, протоколов и форматов, таких как TCP/IP, HTTP, AJAX, XML, JSON, WSDL, REST и т.п. Опыт работы с системами контроля версий исходного кода (Git); Опыт написания интеграционных и unit-тестов.  Что мы предлагаем:​​​​​​​  Непосредственное участие в разработке уникальных продуктов; работа в современной гибкой среде, где есть возможность самостоятельно принимать решения; дружеская открытая атмосфера, где приветствуется инициативность и поощряется нестандартный подход; развитие через новые и сложные задачи; постоянное саморазвитие и обучение; Beefree — гибкий рабочий график и возможность работать удаленно — планируй свое время сам; полис добровольного медицинского страхования, обслуживаемый в лучших клиниках города; служебная сотовая связь."
Программист 1С,от 80 000 руб. на руки,Интернет магазин Mebelion.ru (Мебелион.Ру),,"['Требуемый опыт работы', '', ':', '1–3 года']",,"4,4","1С: Предприятие 8, 1С программирование, 1С: Документооборот, Планирование карьеры, Продвинутый пользователь ПК","Кто мы? Успешная компания в сегменте E-commerce с сильным IT бэкграундом. На рынке работаем уже 16 лет. Мы одни из тех, кто не видит себя в будущем без сильной технологической основы, поэтому ищем в команду перспективного младшего 1С разработчика, который готов вместе с нами развиваться в профессиональном плане. Что от Вас требуется:  Минимальный опыт работы с 1С (техподдержка пользователей, написание отчетов и др).  За что Вы будете отвечать:   Техническая поддержка пользователей.   Разработка отчетов и обработок, доработка конфигурации под нужды компании и обновление доработанных конфигураций.   В перспективе :   Написание новых модулей для нетиповых операций (не предусмотренных базовой конфигурацией).   Доработка, настройка обменов между базами 1С и внешними сервисами компании.   Что мы готовы предложить :   Возможность «творить» и внедрять новые технологии в компании, где руководство слышит и поощряет Ваши предложения.   Перспектива карьерного роста.   Профессиональный коллектив и руководство компании.   Оформление в полном соответствии с ТК РФ.   Гибкий график работы 5/2 с 9/10/11 до 18/19/20; Работа удаленная.   Заработная плата от 80 000 т.р."
Программист приложений,,АО Российская электроника,Соколиная Гора,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Соколиная Гора, Окружной проезд, 27",Нет отзывов,,"Обязанности:  Разработка программ-""оболочек"" для управления и настройки модулей для радиолокационной аппаратуры  Требования:  Высшее образование Опыт работы от 1-го года C++, C#, Python Хорошее знание аппаратного уровня Знание основ схемотехники  Условия:  Оформление по ТК РФ Полностью ""белая"" заработная плата, выплаты 2 раза в месяц ДМС после испытательного срока Профессиональное развитие и участие в уникальных проектах Пешая доступность от метро Соколиная гора"
Senior Backend Developer .NET C#,до 300 000 руб. на руки,ООО Феникс,,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Печатников переулок, 19с1",Нет отзывов,"NoSQL, SaaS, .NET, .NET Core 6, C#","Компания «Феникс» специализируется на разработке комплексных SaaS решений для российского финансового сектора. Мы находимся в активной стадии обновления нашей платформы, нам очень нужны инициативные ипрофессиональные коллеги. Мы строим инновационный проект и ты можешьнам в этом помочь! Наш стек: .NET 6, PostgreSQL, Docker. Чем предстоит заниматься:  разрабатывать новый функционал для проектов компании; проектировать API и сервисы; участвовать в обсуждении основных архитектурных решений; улучшать производительность и стабильность работающих сервисов.  Что мы ждем от кандидата:  глубокие знания C# и платформы .NET; опыт коммерческой разработки не менее 3-х лет; хорошие знания алгоритмов и структур данных; умение писать unit-тесты, а также понимание, зачем они нужны; опыт применения реляционных и NoSQL решений, понимание основных принципов их работы.  Будет плюсом:  опыт работы в финансовом секторе; опыт разработки микросервисов.  Мы предлагаем:  соблюдение всех норм трудового законодательства, оформление в штат с первого дня; офис в самом центре Москвы (ст.м. Трубная); корпоративная электронная библиотека;  отсутствие бюрократии; интересные задачи, способные раскрыть потенциал каждого сотрудника; молодой и дружный коллектив."
